compare_label	comparison	region_label	filter	variant_type	truth_total	truth_tp	truth_fn	query_total	query_tp	query_fp	metric_recall	metric_precision	metric_f1	truth_fn_gt	query_fp_gt
compare	GT	ALL	ALL	ALL	3	2	1	3	1	2	0.6666666666666666	0.3333333333333333	0.4444444444444444	0	2
compare	GT	ALL	ALL	Snv	1	1	0	1	1	0	1.0	1.0	1.0	0	0
compare	GT	ALL	ALL	Insertion	2	1	1	2	0	2	0.5	0.0	0.0	0	2
compare	GT	ALL	ALL	JointIndel	2	1	1	2	0	2	0.5	0.0	0.0	0	2
compare	HAP	ALL	ALL	ALL	4	3	1	5	3	2	0.75	0.6	0.6666666666666665		
compare	HAP	ALL	ALL	Snv	2	2	0	1	1	0	1.0	1.0	1.0		
compare	HAP	ALL	ALL	Insertion	2	1	1	4	2	2	0.5	0.5	0.5		
compare	HAP	ALL	ALL	JointIndel	2	1	1	4	2	2	0.5	0.5	0.5		
compare	WEIGHTED_HAP	ALL	ALL	ALL	34	14	20	25	13	12	0.4117647058823529	0.52	0.45959595959595956		
compare	WEIGHTED_HAP	ALL	ALL	Snv	2	2	0	1	1	0	1.0	1.0	1.0		
compare	WEIGHTED_HAP	ALL	ALL	Insertion	32	12	20	24	12	12	0.375	0.5	0.42857142857142855		
compare	WEIGHTED_HAP	ALL	ALL	JointIndel	32	12	20	24	12	12	0.375	0.5	0.42857142857142855		
compare	BASEPAIR	ALL	ALL	ALL	64	48	16	48	48	0	0.75	1.0	0.8571428571428571		
compare	BASEPAIR	ALL	ALL	Snv	4	2	2	2	1	1	0.5	0.5	0.5		
compare	BASEPAIR	ALL	ALL	Insertion	64	46	18	48	48	0	0.71875	1.0	0.8363636363636363		
compare	BASEPAIR	ALL	ALL	JointIndel	64	46	18	48	48	0	0.71875	1.0	0.8363636363636363		
