compare_label	comparison	region_label	filter	variant_type	truth_total	truth_tp	truth_fn	query_total	query_tp	query_fp	metric_recall	metric_precision	metric_f1	truth_fn_gt	query_fp_gt
compare	GT	ALL	ALL	ALL	0	0	0	2	2	0		1.0		0	0
compare	GT	ALL	ALL	Insertion	0	0	0	1	1	0		1.0		0	0
compare	GT	ALL	ALL	Deletion	0	0	0	1	1	0		1.0		0	0
compare	GT	ALL	ALL	JointIndel	0	0	0	2	2	0		1.0		0	0
compare	HAP	ALL	ALL	ALL	0	0	0	2	2	0		1.0			
compare	HAP	ALL	ALL	Insertion	0	0	0	1	1	0		1.0			
compare	HAP	ALL	ALL	Deletion	0	0	0	1	1	0		1.0			
compare	HAP	ALL	ALL	JointIndel	0	0	0	2	2	0		1.0			
compare	WEIGHTED_HAP	ALL	ALL	ALL	0	0	0	2	2	0		1.0			
compare	WEIGHTED_HAP	ALL	ALL	Insertion	0	0	0	1	1	0		1.0			
compare	WEIGHTED_HAP	ALL	ALL	Deletion	0	0	0	1	1	0		1.0			
compare	WEIGHTED_HAP	ALL	ALL	JointIndel	0	0	0	2	2	0		1.0			
compare	BASEPAIR	ALL	ALL	ALL	0	0	0	0	0	0					
compare	BASEPAIR	ALL	ALL	Insertion	0	0	0	2	0	2		0.0			
compare	BASEPAIR	ALL	ALL	Deletion	0	0	0	2	0	2		0.0			
compare	BASEPAIR	ALL	ALL	JointIndel	0	0	0	4	0	4		0.0			
