compare_label	comparison	region_label	filter	variant_type	truth_total	truth_tp	truth_fn	query_total	query_tp	query_fp	metric_recall	metric_precision	metric_f1	truth_fn_gt	query_fp_gt
compare	GT	ALL	ALL	ALL	5	4	1	5	5	0	0.8	1.0	0.888888888888889	0	0
compare	GT	ALL	ALL	Snv	3	3	0	3	3	0	1.0	1.0	1.0	0	0
compare	GT	ALL	ALL	Insertion	2	1	1	2	2	0	0.5	1.0	0.6666666666666666	0	0
compare	GT	ALL	ALL	JointIndel	2	1	1	2	2	0	0.5	1.0	0.6666666666666666	0	0
compare	HAP	ALL	ALL	ALL	7	6	1	6	6	0	0.8571428571428571	1.0	0.923076923076923		
compare	HAP	ALL	ALL	Snv	5	5	0	4	4	0	1.0	1.0	1.0		
compare	HAP	ALL	ALL	Insertion	2	1	1	2	2	0	0.5	1.0	0.6666666666666666		
compare	HAP	ALL	ALL	JointIndel	2	1	1	2	2	0	0.5	1.0	0.6666666666666666		
compare	WEIGHTED_HAP	ALL	ALL	ALL	41	7	34	6	6	0	0.17073170731707318	1.0	0.2916666666666667		
compare	WEIGHTED_HAP	ALL	ALL	Snv	5	5	0	4	4	0	1.0	1.0	1.0		
compare	WEIGHTED_HAP	ALL	ALL	Insertion	36	2	34	2	2	0	0.05555555555555555	1.0	0.10526315789473684		
compare	WEIGHTED_HAP	ALL	ALL	JointIndel	36	2	34	2	2	0	0.05555555555555555	1.0	0.10526315789473684		
compare	BASEPAIR	ALL	ALL	ALL	78	11	67	12	11	1	0.14102564102564102	0.9166666666666666	0.2444444444444444		
compare	BASEPAIR	ALL	ALL	Snv	10	9	1	8	7	1	0.9	0.875	0.8873239436619719		
compare	BASEPAIR	ALL	ALL	Insertion	72	4	68	4	4	0	0.05555555555555555	1.0	0.10526315789473684		
compare	BASEPAIR	ALL	ALL	JointIndel	72	4	68	4	4	0	0.05555555555555555	1.0	0.10526315789473684		
